Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,3.9627e-66,0.150594,4096,2,6,2,0,0,0
2,3.9627e-66,0.150594,4096,2,6,2,0,0,0
3,3.9627e-66,0.150594,4096,2,6,2,0,0,0
4,3.9627e-66,0.150594,4096,2,6,2,0,0,0
5,3.9627e-66,0.150594,4096,2,6,2,0,0,0
6,3.9627e-66,0.150594,4096,2,6,2,0,0,0
7,3.9627e-66,0.150594,4096,2,6,2,0,0,0
8,3.9627e-66,0.150594,4096,2,6,2,0,0,0
9,3.9627e-66,0.150594,4096,2,6,2,0,0,0
10,3.9627e-66,0.150594,4096,2,6,2,0,0,0
11,3.9627e-66,0.150594,4096,2,6,2,0,0,0
12,3.9627e-66,0.150594,4096,2,5,2,0,0,0
13,3.9627e-66,0.150594,4096,2,5,2,0,0,0
14,3.9627e-66,0.150594,4096,2,6,2,0,0,0
15,3.9627e-66,0.150594,4096,2,5,2,0,0,0
16,3.9627e-66,0.150594,4096,2,5,2,0,0,0
17,3.9627e-66,0.150594,4096,2,6,2,0,0,0
18,3.43175e-65,0.148435,4096,2,6,2,0,0,0
19,3.43175e-65,0.148435,4096,2,6,2,0,0,0
20,3.43175e-65,0.148435,4096,2,6,2,0,0,0
21,3.43175e-65,0.148435,4096,2,6,2,0,0,0
22,3.43175e-65,0.148435,4096,2,6,2,0,0,0
23,3.43175e-65,0.148435,4096,2,6,2,0,0,0
24,3.43175e-65,0.148435,4096,2,6,2,0,1,1
25,3.43175e-65,0.148435,4096,2,6,2,0,0,0
26,3.43175e-65,0.148435,4096,2,6,2,0,0,0
27,3.43175e-65,0.148435,4096,2,6,2,0,0,0
28,3.43175e-65,0.148435,4096,2,6,2,0,0,0
29,3.43175e-65,0.148435,4096,2,6,2,0,1,1
30,3.43175e-65,0.148435,4096,2,6,2,0,0,0
31,3.43175e-65,0.148435,4096,2,6,2,0,0,0
32,3.43175e-65,0.148435,4096,2,6,2,0,0,0
33,3.43175e-65,0.148435,4096,2,6,2,0,0,0
34,3.43175e-65,0.148435,4096,2,6,2,0,0,0
35,3.43175e-65,0.148435,4096,2,6,2,0,0,0
36,3.43175e-65,0.148435,4096,2,6,2,0,0,0
37,3.43175e-65,0.148435,4096,2,6,2,0,0,0
38,3.43175e-65,0.148435,4096,2,6,2,0,0,0
39,3.43175e-65,0.148435,4096,2,6,2,0,0,0
40,3.43175e-65,0.148435,4096,2,6,2,0,0,0
41,3.43175e-65,0.148435,4096,2,6,2,0,0,0
42,3.43175e-65,0.148435,4096,2,6,2,0,0,0
43,3.43175e-65,0.148435,4096,2,6,2,0,0,0
44,3.43175e-65,0.148435,4096,2,6,2,0,0,0
45,3.43175e-65,0.148435,4096,2,6,2,0,0,0
46,3.43175e-65,0.148435,4096,2,6,2,0,0,0
47,3.43175e-65,0.148435,4096,2,6,2,0,0,0
48,3.43175e-65,0.148435,4096,2,6,2,0,0,0
49,3.43175e-65,0.148435,4096,2,6,2,0,0,0
50,3.43175e-65,0.148435,4096,2,6,2,0,0,0
51,3.43175e-65,0.148435,4096,2,6,2,0,0,0
52,3.43175e-65,0.148435,4096,2,6,2,0,0,0
53,3.43175e-65,0.148435,4096,2,6,2,0,0,0
54,3.43175e-65,0.148435,4096,2,5,2,0,0,0
55,3.43175e-65,0.148435,4096,2,5,2,0,0,0
56,3.43175e-65,0.148435,4096,2,5,2,0,0,0
57,3.43175e-65,0.148435,4096,2,6,2,0,0,0
58,3.43175e-65,0.148435,4096,2,5,2,0,0,0
59,3.43175e-65,0.148435,4096,2,5,2,0,0,0
60,3.43175e-65,0.148435,4096,2,6,2,0,0,0
61,4.8815e-65,0.148083,4096,2,6,2,0,0,0
62,4.8815e-65,0.148083,4096,2,6,2,0,0,0
63,7.44069e-64,0.145358,4096,2,7,2,0,0,0
64,7.44069e-64,0.145358,4096,2,7,2,0,0,0
65,7.44069e-64,0.145358,4096,2,7,2,0,0,0
66,7.44069e-64,0.145358,4096,2,7,2,0,0,0
67,7.44069e-64,0.145358,4096,2,7,2,0,0,0
68,7.44069e-64,0.145358,4096,2,6,2,0,0,0
69,7.44069e-64,0.145358,4096,2,6,2,0,0,0
70,7.44069e-64,0.145358,4096,2,7,2,0,1,1
71,7.44069e-64,0.145358,4096,2,7,2,0,0,0
72,7.44069e-64,0.145358,4096,2,7,2,0,0,0
73,7.44069e-64,0.145358,4096,2,7,2,0,0,0
74,7.44069e-64,0.145358,4096,2,7,2,0,0,0
75,7.44069e-64,0.145358,4096,2,7,2,0,0,0
76,7.44069e-64,0.145358,4096,2,7,2,0,0,0
77,7.44069e-64,0.145358,4096,2,7,2,0,0,0
78,7.44069e-64,0.145358,4096,2,7,2,0,0,0
79,7.44069e-64,0.145358,4096,2,7,2,0,0,0
80,7.44069e-64,0.145358,4096,2,7,2,0,0,0
81,7.44069e-64,0.145358,4096,2,6,2,0,0,0
82,7.44069e-64,0.145358,4096,2,6,2,0,0,0
83,7.44069e-64,0.145358,4096,2,6,2,0,0,0
84,7.44069e-64,0.145358,4096,2,7,2,0,0,0
85,7.44069e-64,0.145358,4096,2,7,2,0,0,0
86,7.44069e-64,0.145358,4096,2,7,2,0,0,0
87,7.44069e-64,0.145358,4096,2,7,2,0,0,0
88,7.44069e-64,0.145358,4096,2,7,2,0,0,0
89,7.44069e-64,0.145358,4096,2,7,2,0,1,1
90,7.44069e-64,0.145358,4096,2,7,2,0,1,1
91,7.44069e-64,0.145358,4096,2,7,2,0,0,0
92,7.44069e-64,0.145358,4096,2,7,2,0,0,0
93,7.44069e-64,0.145358,4096,2,7,2,0,0,0
94,7.44069e-64,0.145358,4096,2,7,2,0,0,0
95,7.44069e-64,0.145358,4096,2,7,2,0,0,0
96,7.44069e-64,0.145358,4096,2,7,2,0,0,0
97,7.44069e-64,0.145358,4096,2,7,2,0,0,0
98,7.44069e-64,0.145358,4096,2,7,2,0,0,0
99,7.44069e-64,0.145358,4096,2,7,2,0,0,0
100,7.44069e-64,0.145358,4096,2,7,2,0,0,0
101,7.44069e-64,0.145358,4096,2,7,2,0,0,0
102,7.44069e-64,0.145358,4096,2,7,2,0,0,0
103,4.78453e-63,0.143497,4096,2,6,2,0,0,0
104,4.78453e-63,0.143497,4096,2,6,2,0,0,0
105,4.78453e-63,0.143497,4096,2,6,2,0,0,0
106,4.78453e-63,0.143497,4096,2,6,2,0,0,0
107,4.78453e-63,0.143497,4096,2,6,2,0,0,0
108,4.78453e-63,0.143497,4096,2,6,2,0,0,0
109,4.78453e-63,0.143497,4096,2,6,2,0,0,0
110,4.78453e-63,0.143497,4096,2,6,2,0,0,0
111,4.78453e-63,0.143497,4096,2,6,2,0,0,0
112,4.78453e-63,0.143497,4096,2,6,2,0,0,0
113,4.78453e-63,0.143497,4096,2,6,2,0,0,0
114,4.78453e-63,0.143497,4096,2,6,2,0,0,0
115,4.78453e-63,0.143497,4096,2,6,2,0,0,0
116,4.78453e-63,0.143497,4096,2,6,2,0,0,0
117,4.78453e-63,0.143497,4096,2,6,2,0,0,0
118,4.78453e-63,0.143497,4096,2,6,2,0,0,0
119,4.78453e-63,0.143497,4096,2,6,2,0,0,0
120,4.78453e-63,0.143497,4096,2,5,2,0,0,0
121,4.78453e-63,0.143497,4096,2,6,2,0,0,0
122,4.78453e-63,0.143497,4096,2,6,2,0,0,0
123,4.78453e-63,0.143497,4096,2,6,2,0,0,0
124,4.78453e-63,0.143497,4096,2,6,2,0,0,0
125,4.78453e-63,0.143497,4096,2,6,2,0,0,0
126,4.78453e-63,0.143497,4096,2,6,2,0,0,0
127,4.78453e-63,0.143497,4096,2,6,2,0,0,0
128,4.78453e-63,0.143497,4096,2,6,2,0,0,0
129,4.78453e-63,0.143497,4096,2,6,2,0,1,1
130,4.78453e-63,0.143497,4096,2,6,2,0,0,0
131,4.78453e-63,0.143497,4096,2,6,2,0,1,1
132,4.78453e-63,0.143497,4096,2,6,2,0,0,0
133,4.78453e-63,0.143497,4096,2,6,2,0,0,0
134,4.78453e-63,0.143497,4096,2,6,2,0,0,0
135,4.78453e-63,0.143497,4096,2,6,2,0,0,0
136,4.78453e-63,0.143497,4096,2,6,2,0,0,0
137,4.78453e-63,0.143497,4096,2,6,2,0,0,0
138,4.78453e-63,0.143497,4096,2,6,2,0,0,0
139,4.78453e-63,0.143497,4096,2,6,2,0,0,0
140,4.78453e-63,0.143497,4096,2,6,2,0,0,0
141,4.78453e-63,0.143497,4096,2,6,2,0,0,0
142,4.78453e-63,0.143497,4096,2,6,2,0,0,0
143,4.78453e-63,0.143497,4096,2,6,2,0,0,0
144,4.78453e-63,0.143497,4096,2,6,2,0,0,0
145,4.78453e-63,0.143497,4096,2,6,2,0,0,0
146,4.78453e-63,0.143497,4096,2,6,2,0,0,0
147,4.78453e-63,0.143497,4096,2,5,2,0,0,0
148,4.78453e-63,0.143497,4096,2,6,2,0,0,0
149,4.78453e-63,0.143497,4096,2,6,2,0,0,0
150,4.78453e-63,0.143497,4096,2,6,2,0,0,0
151,4.78453e-63,0.143497,4096,2,5,2,0,0,0
152,4.78453e-63,0.143497,4096,3,6,2,1,0,0
153,1.89986e-61,0.139816,4096,2,6,2,0,0,0
154,1.89986e-61,0.139816,4096,2,6,2,0,0,0
155,1.89986e-61,0.139816,4096,2,6,2,0,0,0
156,1.89986e-61,0.139816,4096,2,6,2,0,0,0
157,1.89986e-61,0.139816,4096,2,6,2,0,0,0
158,1.89986e-61,0.139816,4096,2,6,2,0,0,0
159,1.89986e-61,0.139816,4096,2,6,2,0,0,0
160,1.89986e-61,0.139816,4096,2,6,2,0,0,0
161,1.89986e-61,0.139816,4096,2,6,2,0,0,0
162,1.89986e-61,0.139816,4096,2,6,2,0,0,0
163,1.89986e-61,0.139816,4096,2,6,2,0,0,0
164,1.89986e-61,0.139816,4096,2,6,2,0,0,0
165,1.89986e-61,0.139816,4096,2,6,2,0,0,0
166,1.89986e-61,0.139816,4096,2,6,2,0,0,0
167,1.89986e-61,0.139816,4096,2,6,2,0,0,0
168,1.89986e-61,0.139816,4096,2,6,2,0,0,0
169,1.89986e-61,0.139816,4096,2,6,2,0,0,0
170,1.89986e-61,0.139816,4096,2,6,2,0,0,0
171,1.89986e-61,0.139816,4096,2,6,2,0,0,0
172,1.89986e-61,0.139816,4096,2,6,2,0,0,0
173,1.89986e-61,0.139816,4096,2,6,2,0,0,0
174,1.89986e-61,0.139816,4096,2,6,2,0,0,0
175,1.89986e-61,0.139816,4096,2,6,2,0,0,0
176,1.89986e-61,0.139816,4096,2,7,2,0,0,0
177,1.89986e-61,0.139816,4096,2,5,2,0,0,0
178,1.89986e-61,0.139816,4096,2,6,2,0,0,0
179,1.89986e-61,0.139816,4096,2,6,2,0,0,0
180,1.89986e-61,0.139816,4096,2,6,2,0,0,0
181,1.89986e-61,0.139816,4096,2,6,2,0,0,0
182,1.89986e-61,0.139816,4096,2,5,2,0,0,0
183,1.89986e-61,0.139816,4096,2,6,2,0,0,0
184,1.89986e-61,0.139816,4096,2,7,2,0,0,0
185,1.89986e-61,0.139816,4096,2,6,2,0,0,0
186,1.89986e-61,0.139816,4096,2,6,2,0,0,0
187,1.89986e-61,0.139816,4096,2,6,2,0,0,0
188,1.89986e-61,0.139816,4096,2,7,2,0,0,0
189,1.89986e-61,0.139816,4096,2,6,2,0,0,0
190,1.89986e-61,0.139816,4096,2,6,2,0,0,0
191,1.89986e-61,0.139816,4096,2,6,2,0,1,1
192,1.89986e-61,0.139816,4096,2,6,2,0,0,0
193,1.89986e-61,0.139816,4096,2,6,2,0,0,0
194,1.89986e-61,0.139816,4096,2,6,2,0,0,0
195,1.89986e-61,0.139816,4096,2,6,2,0,0,0
196,1.89986e-61,0.139816,4096,2,5,2,0,0,0
197,1.89986e-61,0.139816,4096,2,6,2,0,0,0
198,1.89986e-61,0.139816,4096,2,5,2,0,0,0
199,1.89986e-61,0.139816,4096,2,6,2,0,0,0
200,1.89986e-61,0.139816,4096,2,6,2,0,0,0
201,1.89986e-61,0.139816,4096,2,5,2,0,0,0
202,1.89986e-61,0.139816,4096,2,5,2,0,0,0
203,1.89986e-61,0.139816,4096,2,5,2,0,0,0
204,1.89986e-61,0.139816,4096,2,6,2,0,0,0
205,1.89986e-61,0.139816,4096,2,6,2,0,0,0
206,1.89986e-61,0.139816,4096,2,6,2,0,0,0
207,1.89986e-61,0.139816,4096,2,6,2,0,0,0
208,1.89986e-61,0.139816,4096,2,6,2,0,0,0
209,1.89986e-61,0.139816,4096,2,6,2,0,0,0
210,1.89986e-61,0.139816,4096,2,6,2,0,0,0
211,1.89986e-61,0.139816,4096,2,5,2,0,0,0
212,1.89986e-61,0.139816,4096,2,6,2,0,0,0
213,1.89986e-61,0.139816,4096,2,5,2,0,0,0
214,1.89986e-61,0.139816,4096,2,5,2,0,0,0
215,1.89986e-61,0.139816,4096,2,6,2,0,0,0
216,1.89986e-61,0.139816,4096,2,6,2,0,0,0
217,1.89986e-61,0.139816,4096,2,6,2,0,0,0
218,1.89986e-61,0.139816,4096,2,6,2,0,0,0
219,1.89986e-61,0.139816,4096,2,7,2,0,0,0
220,1.89986e-61,0.139816,4096,2,6,2,0,0,0
221,1.89986e-61,0.139816,4096,2,6,2,0,0,0
222,1.89986e-61,0.139816,4096,2,6,2,0,0,0
223,1.89986e-61,0.139816,4096,2,5,2,0,0,0
224,1.89986e-61,0.139816,4096,2,6,2,0,0,0
225,1.89986e-61,0.139816,4096,2,6,2,0,0,0
226,1.89986e-61,0.139816,4096,2,6,2,0,0,0
227,1.89986e-61,0.139816,4096,2,6,2,0,0,0
228,1.89986e-61,0.139816,4096,2,6,2,0,0,0
229,1.89986e-61,0.139816,4096,2,6,2,0,0,0
230,1.89986e-61,0.139816,4096,2,6,2,0,0,0
231,1.89986e-61,0.139816,4096,2,6,2,0,0,0
232,1.89986e-61,0.139816,4096,2,5,2,0,0,0
233,1.89986e-61,0.139816,4096,2,5,2,0,0,0
234,1.89986e-61,0.139816,4096,2,6,2,0,0,0
235,2.52834e-59,0.134925,4096,2,5,2,0,0,0
236,2.52834e-59,0.134925,4096,2,5,2,0,0,0
237,2.52834e-59,0.134925,4096,2,5,2,0,0,0
238,2.52834e-59,0.134925,4096,2,5,2,0,0,0
239,2.52834e-59,0.134925,4096,2,5,2,0,0,0
240,2.52834e-59,0.134925,4096,2,5,2,0,0,0
241,2.52834e-59,0.134925,4096,2,5,2,0,0,0
242,2.52834e-59,0.134925,4096,2,5,2,0,0,0
243,2.52834e-59,0.134925,4096,2,5,2,0,0,0
244,2.52834e-59,0.134925,4096,2,5,2,0,0,0
245,2.52834e-59,0.134925,4096,2,5,2,0,0,0
246,2.52834e-59,0.134925,4096,2,5,2,0,0,0
247,2.52834e-59,0.134925,4096,2,5,2,0,0,0
248,2.52834e-59,0.134925,4096,2,5,2,0,0,0
249,2.52834e-59,0.134925,4096,2,5,2,0,0,0
250,2.52834e-59,0.134925,4096,2,5,2,0,0,0
251,2.52834e-59,0.134925,4096,2,5,2,0,0,0
252,2.52834e-59,0.134925,4096,2,5,2,0,0,0
253,2.52834e-59,0.134925,4096,2,5,2,0,0,0
254,2.52834e-59,0.134925,4096,2,5,2,0,0,0
255,2.52834e-59,0.134925,4096,2,5,2,0,0,0
256,2.52834e-59,0.134925,4096,2,5,2,0,0,0
257,2.52834e-59,0.134925,4096,2,5,2,0,0,0
258,2.52834e-59,0.134925,4096,2,5,2,0,0,0
