Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,3.95886e-66,0.150598,4096,1.99902,6,1.99902,0,0.0419922,0.0419922
2,3.9627e-66,0.150594,4096,2,5.99707,2,0,0.0498047,0.0498047
3,3.9627e-66,0.150594,4096,1.99902,6.00098,1.99902,0,0.0390625,0.0390625
4,3.95942e-66,0.150596,4096,1.99609,6.00195,1.99609,0,0.0419922,0.0419922
5,3.95613e-66,0.150597,4096,1.99609,6.00293,1.99512,0.000976562,0.0488281,0.0488281
6,3.9627e-66,0.150594,4096,2,5.99707,1.99902,0.000976562,0.0371094,0.0371094
7,3.9627e-66,0.150594,4096,2.00098,5.99512,1.99902,0.00195312,0.0419922,0.0419922
8,3.95558e-66,0.1506,4096,1.99902,5.98926,1.99902,0,0.0380859,0.0380859
9,3.9627e-66,0.150594,4096,2,5.99609,2,0,0.0429688,0.0429688
10,3.95942e-66,0.150596,4096,1.99902,5.99414,1.99902,0,0.03125,0.03125
11,3.95942e-66,0.150596,4096,1.99805,5.98633,1.99805,0,0.0537109,0.0537109
12,3.99234e-66,0.150592,4096,1.99902,5.99316,1.99902,0,0.0371094,0.0371094
13,4.13728e-66,0.150583,4096,1.99707,5.99316,1.99707,0,0.0351562,0.0351562
14,4.40735e-66,0.150562,4096,1.99512,5.99512,1.99512,0,0.0351562,0.0351562
15,5.11879e-66,0.150511,4096,1.99316,5.99805,1.99219,0.000976562,0.0419922,0.0419922
16,5.56344e-66,0.15048,4096,1.99414,5.98535,1.99219,0.00195312,0.0419922,0.0419922
17,6.59768e-66,0.150408,4096,1.99121,5.98828,1.98926,0.00195312,0.0380859,0.0380859
18,7.33826e-66,0.150357,4096,1.99121,5.9873,1.99023,0.000976562,0.03125,0.03125
19,8.76164e-66,0.150254,4096,1.99023,5.99316,1.98828,0.00195312,0.0429688,0.0429688
20,1.05732e-65,0.150124,4096,1.98828,5.98926,1.98242,0.00585938,0.0322266,0.0322266
21,1.2278e-65,0.150005,4096,1.98438,5.98438,1.9707,0.0136719,0.0429688,0.0429688
22,1.4237e-65,0.149867,4096,1.97754,5.9834,1.96484,0.0126953,0.03125,0.03125
23,1.63679e-65,0.14971,4096,1.97461,5.98145,1.96289,0.0117188,0.0439453,0.0439453
24,1.86141e-65,0.149548,4096,1.98145,5.9834,1.97168,0.00976562,0.0351562,0.0351562
25,2.11757e-65,0.149363,4096,1.98828,5.99219,1.97949,0.00878906,0.0361328,0.0361328
26,2.40179e-65,0.149158,4096,1.99121,5.99512,1.98438,0.00683594,0.0380859,0.0380859
27,2.70181e-65,0.148937,4096,1.99219,6.00195,1.98828,0.00390625,0.0429688,0.0429688
28,2.96247e-65,0.14875,4096,1.99512,6.00488,1.99219,0.00292969,0.0371094,0.0371094
29,3.12538e-65,0.148637,4096,1.99707,6.00684,1.99512,0.00195312,0.0429688,0.0429688
30,3.2468e-65,0.148554,4096,1.99609,6.02344,1.99609,0,0.0429688,0.0429688
31,3.35279e-65,0.148476,4096,1.99902,6.02051,1.99902,0,0.0361328,0.0361328
32,3.38528e-65,0.148456,4096,1.99902,6.01855,1.99902,0,0.0488281,0.0488281
33,3.39188e-65,0.148454,4096,1.99805,6.02344,1.99805,0,0.0458984,0.0458984
34,3.38942e-65,0.148457,4096,1.99805,6.02734,1.99707,0.000976562,0.0351562,0.0351562
35,3.39913e-65,0.148449,4096,1.99805,6.03223,1.99805,0,0.0429688,0.0429688
36,3.4056e-65,0.148444,4096,2,6.03906,2,0,0.0410156,0.0410156
37,3.40401e-65,0.148444,4096,2,6.0332,2,0,0.0361328,0.0361328
38,3.40639e-65,0.148443,4096,1.99805,6.02539,1.99805,0,0.0449219,0.0449219
39,3.41431e-65,0.148441,4096,1.99707,6.01855,1.99707,0,0.0351562,0.0351562
40,3.41494e-65,0.148441,4096,1.99805,6.02051,1.99805,0,0.0458984,0.0458984
41,3.42128e-65,0.148439,4096,1.99902,6.02246,1.99902,0,0.0429688,0.0429688
42,3.42603e-65,0.148437,4096,1.99902,6.00586,1.99902,0,0.0439453,0.0439453
43,3.43204e-65,0.148435,4096,1.99805,6.01562,1.99805,0,0.0332031,0.0332031
44,3.43157e-65,0.148439,4096,1.99609,6.0166,1.99609,0,0.0517578,0.0517578
45,3.42924e-65,0.148442,4096,1.99609,6.02051,1.99512,0.000976562,0.0361328,0.0361328
46,3.43191e-65,0.148438,4096,1.99414,6.01465,1.99414,0,0.0429688,0.0429688
47,3.43333e-65,0.148438,4096,1.99707,6.01367,1.99707,0,0.0439453,0.0439453
48,3.43521e-65,0.148434,4096,1.99609,6.00977,1.99609,0,0.0458984,0.0458984
49,3.43428e-65,0.148441,4096,1.99316,6.00781,1.99316,0,0.0517578,0.0517578
50,3.44449e-65,0.148432,4096,1.99316,6.0127,1.99316,0,0.046875,0.046875
51,3.51777e-65,0.14843,4096,1.99512,6.00781,1.99414,0.000976562,0.0449219,0.0449219
52,4.0056e-65,0.148409,4096,1.99414,6.01074,1.99414,0,0.0488281,0.0488281
53,4.91515e-65,0.148368,4096,1.98926,6.00879,1.98926,0,0.046875,0.046875
54,6.37778e-65,0.148303,4096,1.99023,6.01367,1.98926,0.000976562,0.0507812,0.0507812
55,8.03889e-65,0.148229,4096,1.99414,6.01074,1.99121,0.00292969,0.0537109,0.0537109
56,1.08095e-64,0.148112,4096,1.99512,5.99512,1.99414,0.000976562,0.0537109,0.0537109
57,1.36778e-64,0.147988,4096,1.99121,6.00977,1.99023,0.000976562,0.0429688,0.0429688
58,1.73998e-64,0.147825,4096,1.99316,5.9873,1.99316,0,0.046875,0.046875
59,2.14716e-64,0.147663,4096,1.99219,5.99414,1.99219,0,0.0410156,0.0410156
60,2.59114e-64,0.147456,4096,1.99414,6.00781,1.99414,0,0.0507812,0.0507812
61,3.12476e-64,0.147228,4096,1.99121,6.02246,1.99121,0,0.0371094,0.0371094
62,3.75543e-64,0.146952,4096,1.99219,6.0332,1.99219,0,0.0322266,0.0322266
63,4.37174e-64,0.146686,4096,1.99609,6.04199,1.99609,0,0.0449219,0.0449219
64,5.05156e-64,0.14639,4096,1.99707,6.05664,1.99707,0,0.0371094,0.0371094
65,5.75694e-64,0.14609,4096,1.99512,6.06641,1.99512,0,0.0419922,0.0419922
66,6.52587e-64,0.145758,4096,1.99707,6.08301,1.99707,0,0.0410156,0.0410156
67,7.21211e-64,0.145457,4096,1.99805,6.1084,1.99805,0,0.0322266,0.0322266
68,7.42683e-64,0.145364,4096,1.99902,6.11426,1.99902,0,0.0380859,0.0380859
69,7.44069e-64,0.145358,4096,1.99805,6.11328,1.99805,0,0.0478516,0.0478516
70,7.43343e-64,0.145365,4096,2,6.1084,1.99902,0.000976562,0.0439453,0.0439453
71,7.42936e-64,0.145363,4096,2,6.09668,2,0,0.0341797,0.0341797
72,7.43637e-64,0.145359,4096,2.00098,6.1123,2,0.000976562,0.0341797,0.0341797
73,7.42185e-64,0.145373,4096,1.99902,6.11719,1.99805,0.000976562,0.0449219,0.0449219
74,7.43376e-64,0.145361,4096,2,6.11816,1.99902,0.000976562,0.0361328,0.0361328
75,7.44069e-64,0.145358,4096,2.00098,6.13184,2,0.000976562,0.0351562,0.0351562
76,7.41891e-64,0.145379,4096,1.99707,6.14551,1.99512,0.00195312,0.0400391,0.0400391
77,7.44069e-64,0.145358,4096,2.00098,6.13672,1.99902,0.00195312,0.0439453,0.0439453
78,7.4199e-64,0.145367,4096,2,6.14062,1.99805,0.00195312,0.0419922,0.0419922
79,7.44069e-64,0.145358,4096,1.99902,6.13867,1.99707,0.00195312,0.0439453,0.0439453
80,7.44069e-64,0.145358,4096,1.99902,6.14062,1.99902,0,0.0283203,0.0283203
81,7.44069e-64,0.145358,4096,1.99902,6.13965,1.99902,0,0.0361328,0.0361328
82,7.44069e-64,0.145358,4096,1.99805,6.14648,1.99805,0,0.0351562,0.0351562
83,7.42847e-64,0.145367,4096,1.99805,6.15039,1.99805,0,0.0478516,0.0478516
84,7.42154e-64,0.14537,4096,1.99805,6.16797,1.99805,0,0.0449219,0.0449219
85,7.44069e-64,0.145358,4096,1.99707,6.15918,1.99707,0,0.0517578,0.0517578
86,7.44069e-64,0.145358,4096,1.99707,6.16895,1.99707,0,0.0380859,0.0380859
87,7.43573e-64,0.14536,4096,1.99609,6.18164,1.99609,0,0.0498047,0.0498047
88,7.4235e-64,0.145371,4096,1.99805,6.16602,1.99805,0,0.0371094,0.0371094
89,7.44069e-64,0.145358,4096,1.99707,6.18066,1.99707,0,0.0439453,0.0439453
90,7.43395e-64,0.145361,4096,1.99512,6.18555,1.99512,0,0.0400391,0.0400391
91,7.44069e-64,0.145358,4096,1.99707,6.20117,1.99707,0,0.0478516,0.0478516
92,7.47289e-64,0.145364,4096,1.99707,6.21387,1.99707,0,0.0429688,0.0429688
93,7.58629e-64,0.145365,4096,1.99902,6.21484,1.99902,0,0.0380859,0.0380859
94,7.93944e-64,0.145353,4096,1.99902,6.21387,1.99902,0,0.0371094,0.0371094
